"Name","_name_or_path","dataset_name","eval/f1-macro"
"test-manueltonneau/biocovid-bert-large-cased-coaid","manueltonneau/biocovid-bert-large-cased","coaid","0.9504132231404958"
"test-roberta-base-coaid","roberta-base","coaid","0.9504132231404958"
"test-microsoft/deberta-base-coaid","microsoft/deberta-base","coaid","0.9504132231404958"
"test-digitalepidemiologylab/covid-twitter-bert-v2-coaid","digitalepidemiologylab/covid-twitter-bert-v2","coaid","0.9504132231404958"
"test-allenai/scibert_scivocab_uncased-coaid","allenai/scibert_scivocab_uncased","coaid","0.9450556242274412"
"test-bert-base-uncased-coaid","bert-base-uncased","coaid","0.9412907260868384"
"test-deepset/covid_bert_base-coaid","deepset/covid_bert_base","coaid","0.9399240752886928"
"test-emilyalsentzer/Bio_ClinicalBERT-coaid","emilyalsentzer/Bio_ClinicalBERT","coaid","0.9344717444717444"
"test-vinai/bertweet-base-coaid","vinai/bertweet-base","coaid","0.9343837526852898"
"test-manueltonneau/clinicalcovid-bert-base-cased-coaid","manueltonneau/clinicalcovid-bert-base-cased","coaid","0.9328563194403038"
"test-deepset/covid_bert_base-rec","deepset/covid_bert_base","rec","0.9035159908056414"
"test-facebook/bart-base-rec","facebook/bart-base","rec","0.9019353350062012"
"test-facebook/bart-base-coaid","facebook/bart-base","coaid","0.8883054541043337"
"test-roberta-base-rec","roberta-base","rec","0.8882129114087323"
"test-microsoft/deberta-base-rec","microsoft/deberta-base","rec","0.8694628110899856"
"test-facebook/bart-base-fn19","facebook/bart-base","fn19","0.8367945463381148"
"test-vinai/bertweet-base-rec","vinai/bertweet-base","rec","0.8331408034912078"
"test-roberta-base-fn19","roberta-base","fn19","0.8304830483048304"
"test-digitalepidemiologylab/covid-twitter-bert-v2-rec","digitalepidemiologylab/covid-twitter-bert-v2","rec","0.8077496274217586"
"test-manueltonneau/biocovid-bert-large-cased-rec","manueltonneau/biocovid-bert-large-cased","rec","0.8077496274217586"
"test-allenai/scibert_scivocab_uncased-rec","allenai/scibert_scivocab_uncased","rec","0.8038086708037446"
"test-emilyalsentzer/Bio_ClinicalBERT-fn19","emilyalsentzer/Bio_ClinicalBERT","fn19","0.7963963963963965"
"test-emilyalsentzer/Bio_ClinicalBERT-rec","emilyalsentzer/Bio_ClinicalBERT","rec","0.7938368055555556"
"test-bert-base-uncased-rec","bert-base-uncased","rec","0.7778437145748218"
"test-manueltonneau/clinicalcovid-bert-base-cased-rec","manueltonneau/clinicalcovid-bert-base-cased","rec","0.7687679757920054"
"test-manueltonneau/clinicalcovid-bert-base-cased-fn19","manueltonneau/clinicalcovid-bert-base-cased","fn19","0.7625253863134658"
"test-manueltonneau/clinicalcovid-bert-base-cased-par","manueltonneau/clinicalcovid-bert-base-cased","par","0.7558892366431574"
"test-bert-base-uncased-par","bert-base-uncased","par","0.7512391028730225"
"test-facebook/bart-base-par","facebook/bart-base","par","0.7489177083417825"
"test-bert-base-uncased-fn19","bert-base-uncased","fn19","0.7444704407622262"
"test-microsoft/deberta-base-fn19","microsoft/deberta-base","fn19","0.7430208613125615"
"test-emilyalsentzer/Bio_ClinicalBERT-par","emilyalsentzer/Bio_ClinicalBERT","par","0.7329509492776326"
"test-deepset/covid_bert_base-fn19","deepset/covid_bert_base","fn19","0.7145479327578373"
"test-vinai/bertweet-base-fn19","vinai/bertweet-base","fn19","0.669620367038503"
"test-manueltonneau/biocovid-bert-large-cased-fn19","manueltonneau/biocovid-bert-large-cased","fn19","0.6642312081405566"
"test-allenai/scibert_scivocab_uncased-par","allenai/scibert_scivocab_uncased","par","0.661338308118348"
"test-manueltonneau/biocovid-bert-large-cased-par","manueltonneau/biocovid-bert-large-cased","par","0.6425531914893617"
"test-digitalepidemiologylab/covid-twitter-bert-v2-par","digitalepidemiologylab/covid-twitter-bert-v2","par","0.6425531914893617"
"test-roberta-base-par","roberta-base","par","0.6425531914893617"
"test-microsoft/deberta-base-par","microsoft/deberta-base","par","0.6425531914893617"
"test-deepset/covid_bert_base-par","deepset/covid_bert_base","par","0.6425531914893617"
"test-vinai/bertweet-base-par","vinai/bertweet-base","par","0.6425531914893617"
"test-digitalepidemiologylab/covid-twitter-bert-v2-fn19","digitalepidemiologylab/covid-twitter-bert-v2","fn19","0.6163486871461775"
"test-digitalepidemiologylab/covid-twitter-bert-v2-cmu","digitalepidemiologylab/covid-twitter-bert-v2","cmu","0.5777647803997995"
"test-bert-base-uncased-cmu","bert-base-uncased","cmu","0.5337485682148637"
"test-manueltonneau/clinicalcovid-bert-base-cased-cmu","manueltonneau/clinicalcovid-bert-base-cased","cmu","0.5239777470379406"
"test-emilyalsentzer/Bio_ClinicalBERT-cmu","emilyalsentzer/Bio_ClinicalBERT","cmu","0.502939096582491"
"test-roberta-base-cmu","roberta-base","cmu","0.4987082819969025"
"test-microsoft/deberta-base-cmu","microsoft/deberta-base","cmu","0.4860022312483851"
"test-allenai/scibert_scivocab_uncased-cmu","allenai/scibert_scivocab_uncased","cmu","0.47028577440380415"
"test-facebook/bart-base-cmu","facebook/bart-base","cmu","0.4599093576517001"
"test-deepset/covid_bert_base-cmu","deepset/covid_bert_base","cmu","0.4525493553926012"
"test-vinai/bertweet-base-cmu","vinai/bertweet-base","cmu","0.4491169049621531"
"test-manueltonneau/biocovid-bert-large-cased-cmu","manueltonneau/biocovid-bert-large-cased","cmu","0.4491169049621531"
"test-allenai/scibert_scivocab_uncased-fn19","","fn19",""
